,Q1.1,Q1.1_5_TEXT,Q1.2,Q1.3,Q2.1.1_1,Q2.1.1_2,Q2.1.1_3,Q2.1.1_4,Q2.1.1_5,Q2.1.2_1,Q2.1.2_2,Q2.1.2_3,Q2.1.2_4,Q2.1.2_5,Q2.1.2_6,Q2.1.2_7,Q2.1.2_8,Q2.1.2_9,Q2.1.3_1,Q2.1.3_2,Q2.1.3_3,Q2.1.3_4,Q2.1.3_5,Q2.1.3_6,Q2.1.3_7,Q2.1.3_8,Q2.2,Q2.3
18,Others? Please specify.,security researcher,>10 years,3-5 years,Often,Sometimes,Sometimes,Sometimes,Always,Often,Sometimes,Sometimes,Sometimes,Often,Often,Often,Often,Often,Often,Sometimes,Sometimes,Sometimes,Often,Often,Often,Often,"replicating crashes is a major issue.
triaging them is another big issue.","need better crash triage tools.
need fuzzers which incorporates latest tools and techniques like symbolic fuzzing etc.
platform independent fuzzing"
19,Developer,,>10 years,< 3,Rarely,Sometimes,Often,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,,Rarely,,Sometimes,Often,Often,Often,Sometimes,Rarely,Rarely,Sometimes,Rarely,,"When an issue is detected, I would love to see the minimal standalone code example with minimal dependencies to recreate it. "
20,Developer,,>10 years,< 3,Sometimes,Often,Often,Always,Often,Often,Sometimes,Rarely,Rarely,Often,Rarely,Rarely,Rarely,Often,Often,Often,Often,Sometimes,Rarely,Often,Rarely,Always,,
21,Developer,,6-10 years,3-5 years,Rarely,Never,Rarely,Sometimes,Sometimes,,Rarely,Rarely,,Rarely,,Never,Never,Sometimes,Sometimes,Often,Rarely,Sometimes,Rarely,Never,Sometimes,Rarely,,
22,Developer,,>10 years,< 3,Sometimes,Sometimes,Rarely,Often,Sometimes,Sometimes,Rarely,Never,Sometimes,Rarely,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,,,Rarely,,
23,Technical Lead,,6-10 years,< 3,Often,Rarely,Often,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Often,Rarely,Often,Rarely,Rarely,Often,Often,Often,Sometimes,Rarely,Often,Always,Always,,
24,Technical Lead,,>10 years,>10 years,Rarely,Sometimes,Often,Often,Often,Sometimes,Rarely,Sometimes,Often,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,,
25,Others? Please specify.,bug hunter,6-10 years,3-5 years,Sometimes,Often,Rarely,Always,Always,Often,Rarely,Rarely,Always,Always,Always,Never,Often,Often,Always,Sometimes,Rarely,Never,Rarely,Never,Never,Rarely,"You are try to fuzz open source softwares. I also write fuzzer for closed-source softwares. There are many different things. Writing a harness for a closed-source software (or library, for example: .so or .dll) is very challenging.",
26,Others? Please specify.,Penetration Tester,6-10 years,3-5 years,Often,Always,Sometimes,Rarely,Often,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Often,Rarely,Rarely,Always,Always,Always,Often,,,Rarely,Never,Fuzzing involves getting build systems to work. Build systems are the devil.,"The main problem is, how do we find higher level bugs when the memory corruption rain dries up?"
27,Others? Please specify.,other,6-10 years,3-5 years,Sometimes,Sometimes,Often,Often,Always,Always,Sometimes,Rarely,Often,Rarely,Never,Sometimes,Never,Often,Always,Rarely,Sometimes,Sometimes,Often,Sometimes,Rarely,Often,,"developing specialized tools, structure-aware fuzzing"
28,Others? Please specify.,Security researcher,6-10 years,3-5 years,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Often,Never,Never,Never,Never,Often,Always,Rarely,Sometimes,Rarely,Often,Often,Always,Often,"cannot reproduce fuzzing target's crash (need more work for triaging phase), specific fuzzer component's documentation is not provided",developing specialized tools (in many cases)
29,Others? Please specify.,All of the above,>10 years,6-10 years,Often,Sometimes,Always,Rarely,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Rarely,Rarely,Rarely,Often,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,,
30,Developer,,>10 years,< 3,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Often,Never,Never,Never,Rarely,Rarely,Sometimes,Sometimes,Often,Sometimes,Never,Rarely,Often,Often,,
31,Developer,,>10 years,< 3,Never,Never,Rarely,Often,Rarely,Rarely,Rarely,Never,Sometimes,Never,Never,Never,Never,Rarely,Sometimes,Rarely,Often,Sometimes,,Often,Sometimes,Sometimes,,Integration of fuzzing with the environment (like Go has done) is key to increasing its adoption and ease of use.
32,Others? Please specify.,Vulnerability Researcher,>10 years,< 3,Always,Often,Sometimes,Sometimes,Sometimes,Rarely,Never,Sometimes,Rarely,Always,Rarely,Sometimes,Often,Often,Sometimes,Rarely,Sometimes,Rarely,Often,Never,Never,Sometimes,,
33,Developer,,6-10 years,< 3,Rarely,Sometimes,Often,Often,Often,Rarely,Rarely,Rarely,Sometimes,Rarely,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Rarely,Often,Rarely,Often,,
34,Others? Please specify.,Security Researcher,6-10 years,3-5 years,Often,Rarely,Sometimes,Sometimes,Rarely,Often,Rarely,Rarely,Rarely,Often,Rarely,Often,Rarely,Sometimes,Always,Often,Sometimes,Rarely,Never,Often,Never,Rarely,'- Fuzzing stateful protocols,"'- LibAFL! A high-quality framework for fuzzing solves a lot of the challenges, like reproducibility, scalability. Example usage: https://github.com/tlspuffin/tlspuffin"
35,Developer,,6-10 years,3-5 years,Often,Sometimes,Rarely,Rarely,Rarely,Often,Often,Rarely,Never,Often,Sometimes,,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,,
36,Developer,,6-10 years,3-5 years,Never,,Rarely,Never,Sometimes,,Never,,Often,Rarely,Never,Rarely,Never,Never,Sometimes,Never,Rarely,Rarely,Sometimes,Never,Never,Never,"Improvements made by academia not reaching production - e.g. https://arxiv.org/abs/1803.01307 and https://github.com/AngoraFuzzer/Angora only targets an old LLVM version, making it nearly unusable in practice.","In statically typed, memory-safe languages (Rust, Java, etc) it should be possible to auto-generate fuzzing harnesses for large API surfaces, where it is impractical to write fuzzing targets by hand.
This in turn opens the door for fuzzing C/C++ libraries with large API surfaces through their Rust bindings. OpenSSL's API surface could be easily fuzzed that way.

I've experimented with this in https://github.com/rust-fuzz/auto-fuzz-test but didn't get it to a production-ready state. https://sat-group.github.io/ruben/media/pldi21-syrust.pdf which took a more sophisticated approach also never reached production."
37,Developer,,>10 years,3-5 years,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Never,Sometimes,Always,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Never,Never,Rarely,Often,Rarely,Often,,
38,Technical Lead,,>10 years,3-5 years,Rarely,Rarely,Often,Sometimes,Sometimes,Rarely,Rarely,Rarely,Often,Rarely,Rarely,Rarely,Rarely,Sometimes,Often,Sometimes,Rarely,Rarely,Rarely,Sometimes,Rarely,Sometimes,,
39,Sotware Architect,,>10 years,< 3,Often,Often,Often,Sometimes,Sometimes,Sometimes,Often,Rarely,Rarely,Often,Rarely,Rarely,Sometimes,Often,Sometimes,Always,Rarely,Sometimes,Always,Sometimes,Often,Rarely,Build is the problem.,
40,Technical Lead,,6-10 years,6-10 years,Rarely,Sometimes,Always,Always,Sometimes,,,,,,,,,,,,,,,,,,,
41,Technical Lead,,6-10 years,3-5 years,Sometimes,Often,Sometimes,Rarely,Rarely,Often,Often,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Rarely,,,,,,,,,,
42,Technical Lead,,>10 years,3-5 years,Often,Sometimes,Sometimes,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,
43,Technical Lead,,>10 years,3-5 years,Rarely,Rarely,Often,Often,Sometimes,Often,Often,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Never,Often,Sometimes,Often,Never,Never,Rarely,Often,Sometimes,Sometimes,"Difficulty fuzzing internal boundaries in software (in our product, we assume attacker might successfully take over part of the product, but we still don't want them to reach other parts, so fuzzing these internal boundaries is crucial). Reason: monolithic design, assumptions about intended behavior","Trivial integration of snapshot fuzzing into coverage-guided, simple-to-write fuzzers along the lines of libfuzzer"
44,Technical Lead,,>10 years,>10 years,Sometimes,Often,Sometimes,Often,Rarely,Always,Sometimes,Sometimes,Often,Rarely,Rarely,Often,Never,Often,Often,Rarely,Rarely,Rarely,Sometimes,Always,Rarely,Always,"We develop most of our fuzzing tools ourselves, so our main issues is with the target code, not the fuzzer itself. The main issues are:

* Insufficient segmentation/separation of the target code (cannot easily carve out parts to test, many tests must be done on the full system)
* Fuzzing finds low priority edge cases that have no priority for developers but also block the fuzzing process (in particular pathological OOMs are an issue).
* Guided instrumentation from tools like libFuzzer cannot be restricted at runtime. With a huge codebase, a specific fuzzer can easily be mislead into the ""wrong"" target code.",* Runtime target selection for coverage guided tools would be a great improvement
45,Technical Lead,,6-10 years,< 3,Often,Often,Often,Rarely,Sometimes,,,,,,,,,,,,,,,,,,,
46,Developer,,6-10 years,< 3,Often,Rarely,Sometimes,Always,Always,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Often,Often,,,,,,,,,,
47,Developer,,>10 years,6-10 years,Often,Often,Rarely,Sometimes,Rarely,,Rarely,Never,Sometimes,Rarely,Sometimes,Never,Rarely,Rarely,Sometimes,Rarely,Sometimes,Rarely,Never,Never,Rarely,Rarely,,
48,Developer,,>10 years,3-5 years,Rarely,Rarely,,Never,,,,,,,,,,,,,,,,,,,,
49,Developer,,>10 years,3-5 years,Sometimes,Sometimes,Often,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Sometimes,Rarely,Rarely,,,,,,,,,,
50,Developer,,3-5 years,< 3,Rarely,Sometimes,Sometimes,Often,Often,Sometimes,Rarely,Never,Often,Rarely,Often,Never,,,Always,Often,Sometimes,Rarely,Often,Sometimes,Rarely,Rarely,,
51,Developer,,6-10 years,< 3,Rarely,Rarely,Often,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Never,Never,Never,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Often,,
52,Others? Please specify.,Academic researcher,3-5 years,3-5 years,Often,Often,Sometimes,Rarely,Rarely,,,,,,,,,,,,,,,,,,,
53,Developer,,>10 years,< 3,Often,Often,Often,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,
54,Others? Please specify.,Security Engineer / Researcher,>10 years,6-10 years,Sometimes,Sometimes,Rarely,Rarely,Sometimes,,,,,,,,,,,,,,,,,,,
55,Developer,,3-5 years,< 3,Often,Often,Often,Often,Rarely,,,,,,,,,,,,,,,,,,,
56,Others? Please specify.,security researcher,< 3,< 3,Often,Always,Always,Always,Always,,,,,,,,,,,,,,,,,,,
57,Developer,,< 3,< 3,Often,Sometimes,Sometimes,Often,Always,,,,,,,,,,,,,,,,,,,
58,Technical Lead,,>10 years,< 3,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,Never,Never,Rarely,Rarely,Rarely,Rarely,Never,Never,Never,Rarely,Often,,Guidance on which parts of the software to fuzz would be very helpful. 
59,Others? Please specify.,engineering manager,>10 years,< 3,Always,,Always,Rarely,Often,,,,,,,,,,,,,,,,,,,
60,Developer,,3-5 years,< 3,Never,Never,Always,Always,Always,,,,,,,,,,,,,,,,,,,
61,Technical Lead,,>10 years,3-5 years,Rarely,Sometimes,Rarely,Often,Sometimes,Rarely,Rarely,Never,Rarely,Rarely,Never,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Rarely,Never,Never,Never,,
62,Developer,,>10 years,< 3,Sometimes,Rarely,Often,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Often,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Rarely,Rarely,Sometimes,,
63,Test Analyst/Tester/Test Engineer,,3-5 years,3-5 years,Never,Rarely,Always,Rarely,Never,Never,Rarely,Never,Never,Never,Never,Rarely,Rarely,Always,Often,Rarely,Rarely,Often,Always,Rarely,Rarely,Often,"Well I already mentioned in the survey, I would like to emphasize once again that the most difficult part of fuzzing is to reproduce failures/bugs. Specifically, I usually focus on large system softwares such as the Linux kernel, the Android platform (AOSP) and hypervisors (e.g., QEMU).
In those system softwares, it is very common that it is hard to reproduce detected failures, and developers need to spend lots of time to understand what happend.",I will be happy if one devises a method/tool to reproduce detected failures.
64,Others? Please specify.,Researcher,>10 years,3-5 years,Sometimes,Often,Rarely,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Often,Sometimes,Rarely,Often,Often,Sometimes,Rarely,Sometimes,Never,Never,,,Sometimes,,
65,Others? Please specify.,Security Engineer/Architect,6-10 years,3-5 years,Often,Rarely,Often,Rarely,Often,Sometimes,Rarely,Rarely,Often,Rarely,Never,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Rarely,Rarely,Sometimes,Sometimes,,"There's an effort currently to create generic fuzzers that touch upon a lot of categories. I'd focus on a smaller, maybe niche area, and create pretty good fuzzing primitives that can be then put together on a per-project basis. "
66,Test Analyst/Tester/Test Engineer,,3-5 years,3-5 years,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Often,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,,
67,Technical Lead,,>10 years,< 3,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Never,Never,Never,Never,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Never,Never,Never,,"Our projet's fuzzing is hosted by OSS-Fuzz (Google-maintained infrastructure), which helps a lot on many of the issues mentioned in this survey. Setting up a fuzzing infrastructure from scratch must be a daunting task.
"
68,Technical Lead,,>10 years,3-5 years,Sometimes,Never,Never,Sometimes,Never,Sometimes,Often,Never,Sometimes,Never,Sometimes,Never,,Sometimes,Often,Sometimes,Rarely,Sometimes,Often,Often,Rarely,Rarely,"Developing a workable fuzzing technique was actually a research project by itself! Once that was over, fuzzing became a viable testing strategy, but we spent quite some time coming up with a solution.",
69,Others? Please specify.,DevOps engineer/Hobbyist,3-5 years,< 3,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Often,Rarely,Never,Often,Sometimes,,Rarely,Rarely,,Often,Often,Often,Rarely,Sometimes,Sometimes,Often,Often,"Hard to set up on larger scale by yourself (no widely used kubernetes setups, GitLab gates their fuzzing feature behind their most expensive tier, GitHub doesn't even have something like this, Google operates OssFuzz as SaaS)","Probably better visualization around code coverage (especially branch coverage) so it is more clear what actually gets tested and what doesn't.
More focus on reducers, to get easier to understand failing test cases.
Better integration into unit test frameworks to make clear to developers that there is a whole big input space out there to be explored."
70,Technical Lead,,>10 years,6-10 years,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,"The major issue we've had is in the automatic bug reporting systems. oss-fuzz, for example, will send us bug reports even when the error is clearly in a library we are using and not in our code. Reports should go to the project which owns the code that failed.","It would be very helpful if rules could be set which used a pattern match on the stack trace to decide where bug reports should be submitted. valgrind has something a little like this, for example. We've suggested this feature to google several times, but nothing has happened yet."
71,Developer,,>10 years,< 3,Sometimes,Rarely,,Never,Never,Rarely,Sometimes,Never,Often,Sometimes,Rarely,Never,Rarely,Sometimes,Never,Rarely,Often,Rarely,Never,Often,Never,Sometimes,,
72,Developer,,< 3,< 3,Often,Always,Often,Sometimes,Always,Often,Often,Often,Sometimes,Sometimes,Often,Often,Rarely,Rarely,Rarely,Rarely,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,,
73,Developer,,>10 years,3-5 years,Often,Sometimes,Sometimes,Sometimes,Rarely,Often,Rarely,Rarely,Often,Always,Rarely,Sometimes,Rarely,Rarely,Often,Sometimes,Often,Rarely,Often,Often,Sometimes,Always,,Make it native to the language (like Go).
74,Others? Please specify.,Security Engineer ,6-10 years,3-5 years,Often,Rarely,Sometimes,Rarely,Sometimes,Often,Rarely,Rarely,Often,Often,Sometimes,Never,Never,Sometimes,Often,Always,Never,Rarely,Rarely,Often,Sometimes,Rarely,,
75,Technical Lead,,>10 years,< 3,Never,Never,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,,Never,,Sometimes,Rarely,Often,Often,Often,Often,Often,Sometimes,Often,Often,Sometimes,"We are fuzzing a programming language. It gets increasingly harder to generate input for the parser, checker, and compiler, i.e harder to generate syntactically and semantically valid programs to reach high coverage in all components ","We need anything platforms that assist us in the whole fuzzing lifecycle: setup and continuously run fuzzing, alert about findings, rerun fuzzing when fix is available.

We need better tooling/frameworks to generate better fuzzing inputs (structured fuzzing)"
76,Others? Please specify.,Researcher,3-5 years,< 3,Often,Often,Often,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Rarely,Always,Sometimes,Often,Often,Always,Often,Always,Rarely,Often,Rarely,,
77,Developer,,3-5 years,< 3,Sometimes,Rarely,Rarely,Rarely,Often,Rarely,Rarely,Often,Sometimes,Often,Rarely,Never,Never,Never,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,,
78,Developer,,>10 years,>10 years,Always,Rarely,Sometimes,Sometimes,Always,Sometimes,Often,Sometimes,Always,Often,Rarely,Sometimes,Often,Often,Often,Often,Sometimes,Often,Never,Sometimes,Rarely,Often,,"Don't stop after finding a single crashing test case. If I set up the fuzzer to run, it should run forever and collect as many crashing test cases as possible"
79,Technical Lead,,6-10 years,3-5 years,Sometimes,Often,Often,Rarely,Rarely,Often,Rarely,Rarely,Sometimes,Often,Sometimes,Rarely,Never,Often,Sometimes,Rarely,Rarely,Rarely,Often,Often,Rarely,Often,,
80,Others? Please specify.,Security Researcher,>10 years,6-10 years,Rarely,Sometimes,Sometimes,Rarely,Often,Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Never,Rarely,Sometimes,Often,Rarely,Rarely,Sometimes,Rarely,Always,Sometimes,Rarely,,
81,Sotware Architect,,>10 years,3-5 years,Sometimes,Often,Often,Sometimes,Always,Often,Often,Often,Often,Often,Often,Sometimes,Rarely,Often,Often,Rarely,Sometimes,Always,Often,Often,Rarely,Sometimes,,
82,Developer,,< 3,< 3,Sometimes,Often,Often,Rarely,Often,Sometimes,Rarely,Sometimes,Always,Rarely,Never,Rarely,Rarely,Rarely,Always,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,,
83,Others? Please specify.,Researcher.,>10 years,6-10 years,Sometimes,,Often,Rarely,Rarely,Sometimes,Rarely,Never,Never,Rarely,Rarely,Rarely,Never,Sometimes,Often,Often,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,,
84,Sotware Architect,,>10 years,3-5 years,Rarely,Often,Often,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Never,Sometimes,,,,,,,,,,"We need a Plug and play tool that can fuxx existing repositories without hustle, with minimal deps and consistency."
