,url,title,dataset,used,original-tag,sub-category-tag,sub-category,category
13,https://github.com/PJK/libcbor/issues/141,oss-fuzz driver broken for dataflow,projects,4.0,Linking c++ stdlib not working on oss-fuzz build (project is working fine),O2,Compatibility of environment or dependencies between project and OSS-Fuzz lead to project crash/build failures.,Compatibility
14,https://github.com/tendermint/tendermint/issues/5907,test: move fuzzy tests back into this repo,projects,7.0,FP,None,None,None
15,https://github.com/alembic/alembic/issues/346,1.8.1 Ogawa_FuzzTest always fails on 32bit,projects,2.0,Wrong/Unexpected behavior on 32-bit PC,F8,Bugs in fuzzer lead to build failures or abnormal/inconsistent fuzzing behaviors. ,Reliability
16,https://github.com/OSGeo/gdal/issues/1849,fgb_fuzzer: ASSERT: size_ < FLATBUFFERS_MAX_BUFFER_SIZE,projects,3.0,FP,None,None,None
17,https://github.com/ethereum/solidity/issues/7803,[yul] fuzzer: Do not generate infinite for loops,projects,5.0,Remove infinite loop as a fuzzing test case,F6,Bad fuzzing targets lead to fuzzing failure or inconsistent results.,Reliability
18,https://github.com/ClickHouse/ClickHouse/issues/13596,Crash founded by fuzz query test,projects,4.0,FP,None,None,None
19,https://github.com/radareorg/radare2/issues/12845,Add JSON support for aflm,projects,7.0,FP,None,None,None
20,https://github.com/radareorg/radare2/issues/4808,[fuzzed] fatmach - r2r,projects,2.0,FP,None,None,None
21,https://github.com/assimp/assimp/issues/3439,Issue 25058 in oss-fuzz: assimp:assimp_fuzzer: Stack-overflow in Assimp::FBX::Scope::Scope,projects,1.0,FP,None,None,None
22,https://github.com/ethereum/solidity/issues/6577,ossfuzz: Remove comment lines from fuzzing corpus to improve efficiency,projects,7.0,FP,None,None,None
23,https://github.com/golang/go/issues/46467,"pthread_create crash: gofuzz, cgo, asan, go 1.16",projects,3.0,FP,None,None,None
24,https://github.com/dart-lang/sdk/issues/31615,Confusing analyzer hint around accidental fuzzy-arrow case,projects,8.0,FP,None,None,None
25,https://github.com/envoyproxy/envoy/issues/4676,//test/integration:h1_capture_direct_response_fuzz_test is flaky in tsan,projects,5.0,FP,None,None,None
26,https://github.com/tafia/quick-xml/issues/103,Another fuzzing issue,projects,8.0,Developer has difficulties reproducing the issue,F14,Developers are struggling to reproduce build failures or bugs detected by fuzzing.,Reproducibility
27,https://github.com/golang/go/issues/52292,"testing,internal/fuzz: Running a fuzz executable does not save the corpus?",projects,4.0,Developer has difficulties saving the corpus generated by the fuzzer,F13,Developers are not able to save or re-use corpus.,Reproducibility
28,https://github.com/bytecodealliance/wasmtime/issues/2163,Investigate slow fuzz module generation with binaryen,projects,8.0,FP,None,None,None
29,https://github.com/bitcoin/bitcoin/issues/19678,UBSan warning when fuzzing with -fsanitize=integer,projects,3.0,FP,None,None,None
30,https://github.com/google/libprotobuf-mutator/issues/78,Switch to -fsanitize=fuzzer,projects,2.0,FP,None,None,None
31,https://github.com/ethereum/solidity/issues/7276,[yul] proto fuzzer: Make function definition a statement,projects,8.0,FP,None,None,None
32,https://github.com/xiph/flac/issues/164,Add Oss-Fuzz targets to CMake build,projects,2.0,FP,None,None,None
33,https://github.com/obgm/libcoap/issues/231,oss-fuzz: Fix broken build,projects,8.0,FP,None,None,None
34,https://github.com/llvm/llvm-project/issues/46301,double free when compiling JSC with afl-clang-lto(clang 12),projects,8.0,FP,None,None,None
35,https://github.com/ClickHouse/ClickHouse/issues/13992,Syntax check fails for function CAST() (found by fuzzer),projects,8.0,FP,None,None,None
36,https://github.com/gohugoio/hugo/issues/1771,"[armel] ""go test"" fails at TestTplGoFuzzReports",projects,3.0,FP,None,None,None
37,https://github.com/google/syzkaller/issues/1670,Fuzzer/executor mismatch,projects,2.0,FP,None,None,None
38,https://github.com/golang/go/issues/46993,[dev.fuzz] testing: errors in (*testing.F).Cleanup functions do not always report the failure,projects,8.0,FP,None,None,None
39,https://github.com/ethereum/solidity/issues/7257,[ossfuzz] build CI should link against libc++ instead of libstdc++,projects,8.0,FP,None,None,None
40,https://github.com/radareorg/radare2/issues/15574,clang libfuzzer targets for unit tests,projects,8.0,FP,None,None,None
41,https://github.com/dart-lang/sdk/issues/38054,"Analyzer fuzz crash: ""a default source must be provided"" in erroneous default value",projects,6.0,FP,None,None,None
42,https://github.com/llvm/llvm-project/issues/36454,DataFlowSanitizer cause clang crash when snprintf use char-array as argument,projects,2.0,FP,None,None,None
43,https://github.com/ethereum/solidity/issues/6227,yulInterpreter: Configuration for fuzzing,projects,5.0,Parameter customization is required to prevent out-of-memory,F16,"Developers have difficulties in setting up, building or using fuzzer.",Usability
44,https://github.com/dart-lang/sdk/issues/38551,Analyzer fuzz crash: extension member in annotation context,projects,7.0,FP,None,None,None
45,https://github.com/protobuf-c/protobuf-c/issues/16,Decoding bugs detected via fuzzing,projects,4.0,FP,None,None,None
46,https://github.com/llvm/llvm-project/issues/22242,"[fuzz] Assertion `I != Vec.end() && ""list does not contain decl""' failed.",projects,5.0,FP,None,None,None
47,https://github.com/cosmos/cosmos-sdk/issues/4383,Random Fuzzer panic: calculated final stake greater than current stake (on f0b690ba6e2),projects,8.0,FP,None,None,None
48,https://github.com/golang/snappy/issues/25,Fuzz new decoder implementation?,projects,7.0,FP,None,None,None
49,https://github.com/llvm/llvm-project/issues/22244,"[fuzz] Assertion `isa<LabelDecl>(D) && ""declaration not instantiated in this scope""' failed.",projects,1.0,FP,None,None,None
50,https://github.com/servo/servo/issues/16656,Fuzzy reftests,projects,3.0,FP,None,None,None
51,https://github.com/celestiaorg/smt/issues/31,Add more fuzzing-like tests,projects,7.0,FP,None,None,None
52,https://github.com/cosmos/cosmos-sdk/issues/6852,[fuzz] codec: ProtoCodec.MarshalJSON can serialize structs with fields that won't then be UnmarshalJSON'd due to invalid strings,projects,7.0,FP,None,None,None
53,https://github.com/dart-lang/sdk/issues/38072,Analyzer fuzz crash: wrong number of type arguments supplied,projects,4.0,FP,None,None,None
54,https://github.com/harfbuzz/harfbuzz/issues/2191,[subset] feature closure takes long time with a fuzzed font,projects,6.0,font library takes too much time to fuzz entirely (too many languages supported) ,F4,"Fuzzing process takes too much time or resouces (e.g., memory, CPU, disk spaces).",Performance
55,https://github.com/cesanta/mongoose/issues/1064,Integrating with OSS-Fuzz,projects,5.0,FP,None,None,None
56,https://github.com/dart-lang/sdk/issues/38060,Analyzer fuzz crash: DynamicElementImpl is not a subtype of FunctiontypedElement,projects,8.0,FP,None,None,None
57,https://github.com/llvm/llvm-project/issues/33217,"Fatal error when compiling with dataflow sanitizer (DFSan) - ""fatal error: error in backend: Broken function found, compilation aborted!""",projects,8.0,FP,None,None,None
58,https://github.com/ClickHouse/ClickHouse/issues/22585,(fuzz) Primary key can become nullable and NULL mask is not normalized to 0 or 1.,projects,4.0,FP,None,None,None
59,https://github.com/LibreDWG/libredwg/issues/176,Several bugs found by fuzzing,projects,5.0,FP,None,None,None
60,https://github.com/radareorg/radare2/issues/3860,[lulzfuzz] ddw,projects,8.0,FP,None,None,None
61,https://github.com/ClickHouse/ClickHouse/issues/24787,AST Fuzzer: inconsistent number formatting - 2147483648 vs -2147483648,projects,2.0,FP,None,None,None
62,https://github.com/osquery/osquery/issues/2862,make fuzz: Reproducible SIGSEGV in plist parsing,projects,6.0,FP,None,None,None
63,https://github.com/danielaparker/jsoncons/issues/235,OSS-Fuzz failed throw issue in CBOR parser (22000),projects,7.0,FP,None,None,None
64,https://github.com/llvm/llvm-project/issues/22203,[fuzz] Assertion `VDecl->isLinkageValid()' failed.,projects,5.0,FP,None,None,None
65,https://github.com/golang/go/issues/48327,[dev.fuzz] minimization discards crasher in favour of a non-crasher,projects,7.0,Minimized corpus throw away crashing inputs and keeps non-crashing,F11,Issues in corpus lead to build failures or unreliable results.,Reliability
66,https://github.com/golang/go/issues/14565,cmd/compile: coverage instrumentation for fuzzing,projects,4.0,FP,None,None,None
67,https://github.com/llvm/llvm-project/issues/22194,"[fuzz] Assertion `Index < Length && ""Invalid index!""' failed.",projects,3.0,FP,None,None,None
68,https://github.com/sigstore/sigstore/issues/183,Include DSSE into oss-fuzz runs,projects,4.0,FP,None,None,None
69,https://github.com/golang/go/issues/33728,encoding/json: slice out of bounds decoder crash found via fuzzing,projects,4.0,FP,None,None,None
70,https://github.com/dart-lang/sdk/issues/38055,Analyzer fuzz crash: Invalid const evaluation of malformed binary operators,projects,7.0,FP,None,None,None
71,https://github.com/mruby/mruby/issues/4178,oss-fuzz integration,projects,7.0,FP,None,None,None
72,https://github.com/CESNET/libyang/issues/267,max-elements in leaflist and list not work when input data is  in JSON format,projects,7.0,FP,None,None,None
73,https://github.com/dart-lang/sdk/issues/38382,Analyzer fuzz crash: variable declaration in literal annotation on for loop variable,projects,1.0,FP,None,None,None
74,https://github.com/llvm/llvm-project/issues/51213,ForwardDataFlowAnalysis fails to propagate lattice updates across branches,projects,6.0,FP,None,None,None
75,https://github.com/Blosc/c-blosc2/issues/93,blosc_getitem return value seems inconsistent (DeepState fuzzing),projects,8.0,FP,None,None,None
76,https://github.com/grpc/grpc/issues/24926,bloaty->libFuzzer is not accessible,projects,3.0,Dependency unavailable in China,F10,Issues in build tools or external dependencies lead to crash/build faiures.,Reliability
77,https://github.com/grpc/grpc/issues/16520,grpc fuzz tests for ip parsing APIs,projects,6.0,FP,None,None,None
78,https://github.com/sudo-project/sudo/issues/84,Integrating continuous fuzzing by way of OSS-Fuzz,projects,7.0,FP,None,None,None
79,https://github.com/llvm/llvm-project/issues/32595,-fsanitize=fuzzer fails to find libLLVMFuzzer.a,projects,1.0,Older compiler version incompatible with fuzzer args,F2,Incompability between fuzzing environment and project leads to build failures.,Compatibility
80,https://github.com/prometheus/prometheus/issues/6649,PromQL fuzzing regression introduced by PR 6643 (don't panic on syntax errors),projects,7.0,FP,None,None,None
81,https://github.com/dart-lang/sdk/issues/39024,Parser fuzz assertion failure,projects,8.0,FP,None,None,None
82,https://github.com/simdjson/simdjson/issues/702,fuzzer appears busted,projects,8.0,FP,None,None,None
83,https://github.com/radareorg/radare2/issues/8500,[rafuzz2] pd0~{} crashes r2 on Linux,projects,6.0,FP,None,None,None
84,https://github.com/radareorg/radare2/issues/4248,afl output must be sorted by offset,projects,7.0,FP,None,None,None
85,https://github.com/golang/go/issues/48804,internal/fuzz: internal panics are reported as unexpected crashes and written to testdata,projects,4.0,FP,None,None,None
86,https://github.com/grpc/grpc/issues/8088,Fuzzing detected memory leak in HTTP GET implementation,projects,6.0,FP,None,None,None
87,https://github.com/dart-lang/sdk/issues/39025,Analyzer fuzz crash: autocomplete in for loop with class name as variable,projects,8.0,FP,None,None,None
88,https://github.com/dart-lang/sdk/issues/47233,"dart-fuzz: runtime/vm/raw_object.cc: 355: error: Invalid cid: 0, obj: 0x7fb1f6883d28, tags: 0. Corrupt heap?",projects,5.0,FP,None,None,None
89,https://github.com/rnpgp/rnp/issues/1276,Fix oss-fuzz broken build due to linking error.,projects,2.0,FP,None,None,None
90,https://github.com/golang/go/issues/32754,x/tools/gopls: support server-side fuzzy matching,projects,8.0,FP,None,None,None
91,https://github.com/google/libprotobuf-mutator/issues/119,Is the use of reflection APIs in the fuzzing harness okay?,projects,7.0,"Dev cannot do ""stateful fuzzing"" (i.e fuzzer behave differently based on context/state)",F15,Developers have difficulties in generating the correct inputs or targeting specific parts of software.,Usability
92,https://github.com/ethereum/solidity/issues/6201,Fuzzing Low-level Lisp-like Language parser/compiler,projects,2.0,Deciding what to fuzz: Should legacy part of the codebase be fuzzed?,F22,Developers have difficulties in deciding which part of the software to fuzz,Other
93,https://github.com/image-rs/image-png/issues/273,fuzzit badge not working,projects,2.0,FP,None,None,None
94,https://github.com/ClickHouse/ClickHouse/issues/20119,Lossy/Fuzzy codec compression algorithm?,projects,3.0,FP,None,None,None
95,https://github.com/CESNET/libyang/issues/89,leaflist node max-elements limits not work in some conditions,projects,8.0,FP,None,None,None
96,https://github.com/ethereum/solidity/issues/7180,[Abiv2 proto fuzzer] Use variable length literals to initialize arguments of `bytes`/s,projects,6.0,Current parameter initialization method of fuzzer limits ability to fuzz some parts of the software,F3,The fuzzer misses desired functionalities/features.,Functionality
97,https://github.com/bitcoin/bitcoin/issues/17729,Fuzzing Bug undefined-behavior pubkey.cpp:210:38,projects,6.0,FP,None,None,None
98,https://github.com/llvm/llvm-project/issues/29562,signed integer in libfuzzer,projects,2.0,FP,None,None,None
99,https://github.com/assimp/assimp/issues/3436,Issue 24472 in oss-fuzz: assimp:assimp_fuzzer: Container-overflow in std::__1::enable_if<,projects,5.0,FP,None,None,None
100,https://github.com/xiph/flac/issues/75,Let metaflac output to a different file,projects,4.0,FP,None,None,None
101,https://github.com/randombit/botan/issues/1430,Build Error with cc afl-clang-fast,projects,7.0,Dev cannot compile AFL with older compiler version,F2,Incompability between fuzzing environment and project leads to build failures.,Compatibility
102,https://github.com/golang/go/issues/48717,testing: document file format for fuzz corpus files,projects,4.0,Documentation does not specify the format required for the corpus,F17,Documentation on how to use the fuzzer is missing/insufficient.,Usability
103,https://github.com/htacg/tidy-html5/issues/459,Uncontrolled resource consumption issue with fuzzed sample,projects,5.0,FP,None,None,None
104,https://github.com/tarantool/tarantool/issues/1809,Automated QA with libfuzzer and ASAN from clang,projects,7.0,FP,None,None,None
105,https://github.com/llvm/llvm-project/issues/32438,null pointer dereference in libfuzzer?,projects,4.0,Fuzzer does not work because old libFuzzer and new compiler are used,F2,Incompability between fuzzing environment and project leads to build failures.,Compatibility
106,https://github.com/nlohmann/json/issues/412,Heap-buffer-overflow (OSS-Fuzz issue 367),projects,1.0,FP,None,None,None
107,https://github.com/Mbed-TLS/mbedtls/issues/4343,Question about fuzzing a binary using mbedtls,projects,3.0,FP,None,None,None
108,https://github.com/google/syzkaller/issues/2577,Syzkaller fuzzer executed useless syscalls with invalid parameters,projects,1.0,FP,None,None,None
109,https://github.com/dart-lang/sdk/issues/38117,Analyzer fuzz assertion failure: startingVariableCount == variableNames.length is not true,projects,2.0,FP,None,None,None
110,https://github.com/golang/go/issues/46633,"[dev.fuzz] cmd/go: hangs in ""gathering baseline coverage""",projects,2.0,FP,None,None,None
111,https://github.com/protobuf-c/protobuf-c/issues/393,OSS-Fuzz integration,projects,8.0,FP,None,None,None
112,https://github.com/ipython/ipython/issues/12673,Using jedi fuzzy completions,projects,4.0,FP,None,None,None
113,https://github.com/bitcoin/bitcoin/issues/18046,Some fuzzing crashes when running under ASan and/or UBSan,projects,5.0,FP,None,None,None
114,https://github.com/radareorg/radare2/issues/11394,One more googlefuzz,projects,1.0,FP,None,None,None
115,https://github.com/envoyproxy/envoy/issues/14889,UDP proxy fuzzing,projects,8.0,FP,None,None,None
116,https://github.com/golang/go/issues/48127,"cmd/go: -keepfuzzing needs renaming, does not exist",projects,2.0,FP,None,None,None
117,https://github.com/ARM-software/astc-encoder/issues/50,Integrating with OSS-Fuzz,projects,8.0,FP,None,None,None
118,https://github.com/ClickHouse/ClickHouse/issues/21959,Fuzzer: The query formatting is broken: tupleElement,projects,8.0,FP,None,None,None
119,https://github.com/randombit/botan/issues/2132,libFuzzer latest version not compatible wth Botan configure,projects,5.0,Fuzzer and compiler are not compatible after update,F2,Incompability between fuzzing environment and project leads to build failures.,Compatibility
120,https://github.com/llvm/llvm-project/issues/22239,"[fuzz] Assertion `TemplateTypeParm->getDepth() == 0 && ""Can't deduce with depth > 0""' failed.",projects,1.0,FP,None,None,None
121,https://github.com/llvm/llvm-project/issues/42492,LLD crashes on Rust generated code with ASan/libfuzzer,projects,3.0,Using different linker crashes when trying to link with libfuzzer,F16,"Developers have difficulties in setting up, building or using fuzzer.",Usability
122,https://github.com/llvm/llvm-project/issues/47634,ExampleClangLoopProtoFuzzer.cpp.o fails to compile,projects,3.0,Developer cannot get fuzz target to build,F6,Bad fuzzing targets lead to fuzzing failure or inconsistent results.,Reliability
123,https://github.com/dart-lang/sdk/issues/38045,analyzer fuzz crash: function interpolation in import string,projects,2.0,FP,None,None,None
124,https://github.com/dart-lang/sdk/issues/39028,Analyzer fuzz crash: members called on null in mixin autocomplete,projects,2.0,FP,None,None,None
125,https://github.com/cosmos/cosmos-sdk/issues/4362,Random Fuzzer panic: invalid argument to Intn,projects,4.0,FP,None,None,None
126,https://github.com/radareorg/radare2/issues/4598,Show number of call references in `afl`,projects,6.0,FP,None,None,None
127,https://github.com/dart-lang/sdk/issues/38992,Analyzer fuzz crash: annotated type argument in function type,projects,1.0,FP,None,None,None
128,https://github.com/harfbuzz/harfbuzz/issues/2186,[subset] GSUB closure taking too long with a fuzzed font,projects,8.0,Inefficient fuzzing leads to wasted resources (unnecessary looping),F4,"Fuzzing process takes too much time or resouces (e.g., memory, CPU, disk spaces).",Performance
129,https://github.com/golang/go/issues/52285,internal/fuzz: test_fuzz_minimize_interesting failures with non-minimal lengths,projects,4.0,FP,None,None,None
130,https://github.com/sigstore/sigstore/issues/205,Migrate to go native fuzzing in 1.18,projects,7.0,FP,None,None,None
131,https://github.com/ClickHouse/ClickHouse/issues/32443,ASTFuzzer checkouts wrong code,projects,6.0,ASTFuzzer checkouts wrong commit,F16,"Developers have difficulties in setting up, building or using fuzzer.",Usability
132,https://github.com/uclouvain/openjpeg/issues/1079,The fuzzer ignores too many inputs,projects,3.0,fuzzer can't handle big inputs,F5,The fuzzer has scalability issues when facing large inputs/fuzzing targets/corpora.,Performance
133,https://github.com/uclouvain/openjpeg/issues/1079,The fuzzer ignores too many inputs,projects,3.0,Fuzzer's security check throws away some inputs which would expose probably exploitable memory errors,F16,"Developers have difficulties in setting up, building or using fuzzer.",Usability
134,https://github.com/sass/libsass/issues/2490,Add project to google/oss-fuzz,projects,6.0,FP,None,None,None
135,https://github.com/monero-project/monero/issues/5025,Fuzz Tests fail to compile 2,projects,8.0,FP,None,None,None
136,https://github.com/tailscale/tailscale/issues/3066,Notifications icons fuzzy on Windows,projects,8.0,FP,None,None,None
137,https://github.com/bitcoin/bitcoin/issues/22064,Fuzzer enhancement: Explicitly check output for uninitialized memory,projects,2.0,FP,None,None,None
138,https://github.com/dart-lang/sdk/issues/38047,analyzer fuzz crash: metadata called on null in function typed list literal,projects,5.0,FP,None,None,None
139,https://github.com/kubernetes/kubernetes/issues/7337,Fuzzer should be aware of API defaults,projects,2.0,Fuzzer bug: the test passes but only because the fuzzer is not processing correctly (not applying required functions for specific fuzz targets) see: https://github.com/kubernetes/kubernetes/issues/6210,F8,Bugs in fuzzer lead to build failures or abnormal/inconsistent fuzzing behaviors. ,Reliability
140,https://github.com/radareorg/radare2/issues/11307,another clusterfuzz,projects,8.0,FP,None,None,None
141,https://github.com/bitcoin/bitcoin/issues/17986,fuzz script execution with dummy signature checker,projects,8.0,FP,None,None,None
142,https://github.com/bytecodealliance/wasmtime/issues/2498,fuzzing: Use `wasm-encoder` rather than generating WAT text and then assembling it in dummy imports,projects,2.0,FP,None,None,None
143,https://github.com/dgraph-io/dgraph/issues/1566,Run go-fuzz for gql and query package,projects,6.0,FP,None,None,None
144,https://github.com/Tencent/rapidjson/issues/1501,OSS-Fuzz integration,projects,3.0,FP,None,None,None
145,https://github.com/google/syzkaller/issues/57,VMs should merge console/fuzzer output on line granularity,projects,8.0,Poor compatibility between VM output and fuzzer output (console/fuzzer output are getting mixed up or corrupted),F19,Overloading outputs lead to difficulties to focus on specific issues.,Usability
146,https://github.com/ClickHouse/ClickHouse/issues/25276,WINDOW functions: nullptr dereference found by fuzzer (TSan),projects,1.0,FP,None,None,None
147,https://github.com/radareorg/radare2/issues/10572,aflqj as ints,projects,3.0,FP,None,None,None
148,https://github.com/GrokImageCompression/grok/issues/88,testing: apply to OSS-Fuzz for fuzz testing,projects,7.0,FP,None,None,None
149,https://github.com/radareorg/radare2/issues/1457,[AFL] rabin2 : Elf64_r_bin_elf_get_rpath,projects,8.0,FP,None,None,None
150,https://github.com/uclouvain/openjpeg/issues/427,Bulk fuzz-testing report,projects,6.0,Oss-fuzz: Developer does not have access to publish the bug reports,O9,Developers do not have access to project status/fuzzer logs/bug reports on OSS-Fuzz.        ,Permission
151,https://github.com/mruby/mruby/issues/4780,Mruby gives FP errors with ASAN when compiled with afl-clang-fast,projects,1.0,FP,None,None,None
152,https://github.com/spdk/spdk/issues/2286,[nvmf_fuzz]llvm_nvme_fuzz help doesn't show -D option usage,projects,8.0,FP,None,None,None
153,https://github.com/bitcoin/bitcoin/issues/21831,build: Link all fuzz targets in parallel,projects,6.0,FP,None,None,None
154,https://github.com/google/syzkaller/issues/1541,syz-fuzzer: fold fuzzer into manager process on host?,projects,6.0,FP,None,None,None
155,https://github.com/assimp/assimp/issues/3442,Issue 25240 in oss-fuzz: assimp:assimp_fuzzer: Crash in Assimp::ObjFileMtlImporter::getFloatValue,projects,4.0,FP,None,None,None
156,https://github.com/google/json5format/issues/23,Address stack overflow error revealed by oss-fuzz if there are too many unclosed braces,projects,5.0,FP,None,None,None
157,https://github.com/ImageMagick/ImageMagick/issues/1513,build libfuzzer error,projects,1.0,Fuzzer Usage: Difficulty using the fuzzer,F16,"Developers have difficulties in setting up, building or using fuzzer.",Usability
158,https://github.com/dart-lang/sdk/issues/46435,lib/mirrors/invocation_fuzz_test/smi fails on dartk-(strong|weak-asserts)-mac-debug-arm64,projects,1.0,FP,None,None,None
159,https://github.com/CESNET/libyang/issues/1668,"When fuzzing the lys_parse_fd function, double free is found, causing a crash.",projects,7.0,FP,None,None,None
160,https://github.com/google/mtail/issues/256,Suggestion: Continuous Fuzzing,projects,2.0,Poor documentation to integrate project to the provider's service and get fuzz builds running,O3,Documentation about how to use/integrate OSS-Fuzz is missing/unclear.,Documentation
161,https://github.com/golang/go/issues/48815,testing: custom mutator support for fuzzing,projects,4.0,fuzzer cannot efficiently generate test inputs for custom types (not supported yet by golang fuzzer),F4,"Fuzzing process takes too much time or resouces (e.g., memory, CPU, disk spaces).",Performance
162,https://github.com/WizardMac/ReadStat/issues/82,Run a fuzzer on ReadStat,projects,2.0,FP,None,None,None
163,https://github.com/radareorg/radare2/issues/13590,aflm and aflmj seem broken,projects,2.0,FP,None,None,None
164,https://github.com/diem/diem/issues/1481,[Fuzzing] `libra-fuzzer` subcommand `fuzz` not built,projects,5.0,Developer cannot build and run the fuzzer,F16,"Developers have difficulties in setting up, building or using fuzzer.",Usability
165,https://github.com/sctplab/usrsctp/issues/354,Memory leak detected during fuzzing,projects,5.0,FP,None,None,None
166,https://github.com/thesofproject/sof/issues/3335,[BUG] [Fuzzing] testbench program exits with segmentation fault,projects,3.0,FP,None,None,None
167,https://github.com/ethereum/solidity/issues/8636,[Fuzzing] Write a semantic fuzzer for testing Solidity inheritance rules,projects,4.0,FP,None,None,None
168,https://github.com/golang/go/issues/51484,"testing,internal/fuzz: Fuzzer reports 0 execs/sec and keeps running",projects,5.0,Bug in fuzzer: abnormal number of executions reported,F18,Messages/information generated by fuzzers is missing/confusing/unhelpful.,Usability
169,https://github.com/ImageMagick/ImageMagick/issues/942,Fuzzers not compiling,projects,4.0,fuzzer code change breaks build (can't compile),F7,Issues with fuzzing test code lead to crashes/build failures.,Reliability
170,https://github.com/yhirose/cpp-httplib/issues/705,[oss-fuzz] issue-26453  Invalid value of Range header,projects,2.0,FP,None,None,None
171,https://github.com/dart-lang/sdk/issues/27076,HOT RELOAD: Develop fuzzer testing strategy,projects,7.0,FP,None,None,None
172,https://github.com/llvm/llvm-project/issues/47082,libfuzzer fails to print stack trace for invalid pcs,projects,6.0,Fuzzer does not print a stacktrace,F18,Messages/information generated by fuzzers is missing/confusing/unhelpful.,Usability
173,https://github.com/ethereum/solidity/issues/7437,[Yul] Try to replace DataFlowAnalyzer by SSAValueTracker,projects,3.0,FP,None,None,None
174,https://github.com/JuliaStrings/utf8proc/issues/215,OSS-Fuzz integration,projects,5.0,FP,None,None,None
175,https://github.com/libimobiledevice/libplist/issues/91,AddressSanitizer: heap-buffer-overflow /home/fuzzer/Fuzzers/libplist/src/bplist.c:586:20 in parse_bin_node,projects,4.0,FP,None,None,None
176,https://github.com/google/syzkaller/issues/464,syz-fuzzer: commit mismatch leads to crashes,projects,6.0,Developer can't detect commit mismatch before running the fuzzer,F16,"Developers have difficulties in setting up, building or using fuzzer.",Usability
177,https://github.com/bitcoin/bitcoin/issues/21369,FuzzedSock compiler warnings when building current master,projects,4.0,Compiler issue affects fuzzing build,F10,Issues in build tools or external dependencies lead to crash/build faiures.,Reliability
178,https://github.com/capstone-engine/capstone/issues/1310,fuzzallcorp is failing on release 4.0 tarball,projects,4.0,Fuzzer Usage: Developer does not know he needs the full corpus in order to run the fuzzer,F9,Incorrect use of corpus leads to fuzzing failures or low coverage.,Reliability
179,https://github.com/dart-lang/sdk/issues/21473,Flaky VM test lib/mirrors/invocation_fuzz_test,projects,3.0,Fuzzing test is Flaky,F14,Developers are struggling to reproduce build failures or bugs detected by fuzzing.,Reproducibility
180,https://github.com/nlohmann/json/issues/504,Assertion error (OSS-Fuzz 856),projects,5.0,FP,None,None,None
181,https://github.com/dart-lang/sdk/issues/38042,analyzer fuzz crash: typeArguments called on null in const list for ftype arg default value,projects,4.0,FP,None,None,None
182,https://github.com/secdev/scapy/issues/3347,"After fuzzing the copied packet, the original packet is also modified",projects,3.0,Fuzzing yield different result depending if python2 or python3 is used,F1,Different fuzzing environment leads to unstable/unreliable results.,Compatibility
183,https://github.com/llvm/llvm-project/issues/22237,"[fuzz] Assertion `!SpecializedTemplate.is<SpecializedPartialSpecialization*>() && ""Already set to a class template partial specialization!""' failed.",projects,1.0,FP,None,None,None
184,https://github.com/OpenSC/OpenSC/issues/2046,New issue 22766 by ClusterFuzz-External: opensc:fuzz_pkcs15_reader: Direct-leak in cardos_init,projects,4.0,FP,None,None,None
